date,time,product,now_weight,req_weight,final_weight,task_state,reason
2026-03-22,08:42:32,Palm Oil,100.0,65.0,100.0,FAIL,[oil_drain] TIMEOUT
2026-03-22,08:42:32,Palm Oil,100.0,100.0,100.0,Sucess,Required weight reached
2026-03-22,12:32:56,Palm Oil,99.0,65.0,95.0,Sucess,Outfeed Oven request to stop
2026-03-22,12:33:09,Palm Oil,95.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,14:39:41,Palm Oil,99.8,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,14:40:01,Palm Oil,91.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,14:44:53,Palm Oil,99.8,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,14:45:13,Palm Oil,91.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,14:49:47,Palm Oil,100.0,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,14:50:08,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,14:55:02,Palm Oil,100.0,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,14:55:23,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:00:19,Palm Oil,100.0,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,15:00:40,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:05:32,Palm Oil,99.8,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,15:05:54,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:10:47,Palm Oil,100.0,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,15:11:08,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:16:06,Palm Oil,99.8,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,15:16:27,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:21:16,Palm Oil,99.8,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,15:21:39,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:26:38,Palm Oil,100.0,65.0,91.4,Sucess,Outfeed Oven request to stop
2026-03-22,15:27:01,Palm Oil,91.4,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:31:59,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,15:32:23,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:37:15,Palm Oil,100.0,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,15:37:38,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:42:37,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,15:43:01,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:47:47,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,15:48:11,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:53:01,Palm Oil,100.0,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,15:53:25,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,15:58:15,Palm Oil,100.0,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,15:58:38,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:03:18,Palm Oil,99.0,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:03:41,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:08:21,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:08:44,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:13:39,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:14:03,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:18:42,Palm Oil,100.0,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,16:19:05,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:23:49,Palm Oil,99.8,65.0,90.8,Sucess,Outfeed Oven request to stop
2026-03-22,16:24:14,Palm Oil,90.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:29:00,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:29:24,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:34:07,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:34:31,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:39:14,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:39:38,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:44:18,Palm Oil,99.8,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,16:44:42,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:49:31,Palm Oil,99.0,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,16:49:55,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:54:37,Palm Oil,99.8,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,16:55:00,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,16:59:40,Palm Oil,99.8,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,17:00:03,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:04:56,Palm Oil,100.0,65.0,90.8,Sucess,Outfeed Oven request to stop
2026-03-22,17:05:21,Palm Oil,90.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:10:03,Palm Oil,100.0,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,17:10:26,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:14:59,Palm Oil,100.0,65.0,91.4,Sucess,Outfeed Oven request to stop
2026-03-22,17:15:22,Palm Oil,91.4,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:20:03,Palm Oil,99.8,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,17:20:26,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:25:13,Palm Oil,99.8,65.0,91.2,Sucess,Outfeed Oven request to stop
2026-03-22,17:25:36,Palm Oil,91.2,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:30:04,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,17:30:27,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:35:14,Palm Oil,100.0,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,17:35:37,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:40:07,Palm Oil,99.8,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,17:40:30,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:44:57,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,17:45:19,Palm Oil,91.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:49:39,Palm Oil,99.8,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,17:50:02,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:54:33,Palm Oil,99.8,65.0,91.4,Sucess,Outfeed Oven request to stop
2026-03-22,17:54:56,Palm Oil,91.4,100.0,99.0,Sucess,Required weight reached
2026-03-22,17:59:28,Palm Oil,99.8,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,17:59:51,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:04:17,Palm Oil,100.0,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,18:04:39,Palm Oil,91.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:09:02,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,18:09:25,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:13:54,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,18:14:16,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:18:43,Palm Oil,99.8,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,18:19:05,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:23:34,Palm Oil,99.8,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,18:23:58,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:28:28,Palm Oil,100.0,65.0,91.6,Sucess,Outfeed Oven request to stop
2026-03-22,18:28:50,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:33:16,Palm Oil,99.8,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,18:33:39,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:37:59,Palm Oil,100.0,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,18:38:21,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:42:47,Palm Oil,99.0,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,18:43:09,Palm Oil,91.6,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:47:31,Palm Oil,99.0,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,18:47:53,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:52:14,Palm Oil,99.8,65.0,91.8,Sucess,Outfeed Oven request to stop
2026-03-22,18:52:37,Palm Oil,91.8,100.0,99.0,Sucess,Required weight reached
2026-03-22,18:57:02,Palm Oil,99.0,65.0,91.0,Sucess,Outfeed Oven request to stop
2026-03-22,18:57:25,Palm Oil,91.0,100.0,99.0,Sucess,Required weight reached
