date,time,product,now_weight,req_weight,final_weight,task_state,reason
2026-05-15,14:04:01,SN.C&C,99.0,65.0,90.6,Sucess,[outfeed] Oven request to stop
2026-05-15,14:04:32,SN.C&C,90.0,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:07:30,SN.C&C,99.8,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,14:08:02,SN.C&C,90.4,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:11:26,SN.C&C,99.8,65.0,90.0,Sucess,[outfeed] Oven request to stop
2026-05-15,14:11:57,SN.C&C,90.8,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:15:34,SN.C&C,99.8,65.0,91.2,Sucess,[outfeed] Oven request to stop
2026-05-15,14:16:05,SN.C&C,91.0,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-05-15,14:19:27,SN.C&C,99.8,65.0,90.0,Sucess,[outfeed] Oven request to stop
2026-05-15,14:19:59,SN.C&C,90.0,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:23:35,SN.C&C,99.8,65.0,90.0,Sucess,[outfeed] Oven request to stop
2026-05-15,14:24:07,SN.C&C,90.6,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:27:41,SN.C&C,99.8,65.0,90.6,Sucess,[outfeed] Oven request to stop
2026-05-15,14:28:13,SN.C&C,90.6,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:31:46,SN.C&C,99.0,65.0,90.0,Sucess,[outfeed] Oven request to stop
2026-05-15,14:32:18,SN.C&C,90.0,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:36:00,SN.C&C,99.8,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,14:36:34,SN.C&C,90.4,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-05-15,14:40:10,SN.C&C,100.0,65.0,90.8,Sucess,[outfeed] Oven request to stop
2026-05-15,14:40:42,SN.C&C,90.8,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:44:19,SN.C&C,99.8,65.0,90.6,Sucess,[outfeed] Oven request to stop
2026-05-15,14:44:52,SN.C&C,90.6,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-05-15,14:48:25,SN.C&C,100.0,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,14:48:59,SN.C&C,90.0,100.0,99.0,Sucess,[Infeed] Required weight reached
2026-05-15,14:52:35,SN.C&C,99.0,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,14:53:08,SN.C&C,90.4,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,14:56:42,SN.C&C,99.8,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,14:57:16,SN.C&C,90.4,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,15:00:49,SN.C&C,99.8,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,15:01:23,SN.C&C,90.4,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,15:04:55,SN.C&C,99.8,65.0,90.2,Sucess,[outfeed] Oven request to stop
2026-05-15,15:05:30,SN.C&C,90.2,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-05-15,15:09:03,SN.C&C,100.0,65.0,90.2,Sucess,[outfeed] Oven request to stop
2026-05-15,15:09:37,SN.C&C,90.2,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,15:13:08,SN.C&C,100.0,65.0,90.4,Sucess,[outfeed] Oven request to stop
2026-05-15,15:13:42,SN.C&C,90.4,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-05-15,15:17:06,SN.C&C,99.8,65.0,90.6,Sucess,[outfeed] Oven request to stop
