date,time,product,now_weight,req_weight,final_weight,task_state,reason
2026-09-19,07:01:58,SN.C&C,74.6,100.0,73.6,FAIL,[Infeed] Oil add TIMEOUT
2026-09-19,07:22:12,SN.C&C,0,100.0,0,FAIL,[Infeed] Oil add TIMEOUT
2026-09-19,07:26:55,SN.C&C,3.0,100.0,90.8,FAIL,[Infeed] weight exceeded hi level
2026-09-19,08:58:26,SN.C&C,58.6,100.0,91.4,FAIL,[Infeed] weight exceeded hi level
2026-09-19,09:06:41,SN.C&C,67.4,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,09:11:16,SN.C&C,91.0,60.0,65.2,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,09:12:49,SN.C&C,65.2,100.0,91.2,FAIL,[Infeed] weight exceeded hi level
2026-09-19,09:22:36,SN.C&C,62.0,60.0,62.8,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,09:24:14,SN.C&C,62.6,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,09:29:18,SN.C&C,91.0,60.0,91.0,FAIL,[outfeed] TIMEOUT
2026-09-19,10:32:18,SN.C&C,74.0,100.0,91.4,FAIL,[Infeed] weight exceeded hi level
2026-09-19,10:39:07,SN.C&C,58.8,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,10:47:07,SN.C&C,59.0,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,12:28:29,SN.C&C,60.6,100.0,91.2,FAIL,[Infeed] weight exceeded hi level
2026-09-19,12:33:56,SN.C&C,58.0,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:06:30,SN.C&C,70.0,60.0,65.0,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,14:07:42,SN.C&C,66.0,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:07:42,SN.C&C,65.0,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:13:24,SN.C&C,91.2,60.0,65.2,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,14:13:24,SN.C&C,90.2,60.0,65.2,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,14:14:39,SN.C&C,65.2,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:15:44,SN.C&C,91.0,60.0,81.4,Sucess,[outfeed] Oven request to stop
2026-09-19,14:19:38,SN.C&C,81.6,60.0,71.8,Sucess,[outfeed] Oven request to stop
2026-09-19,14:20:39,SN.C&C,74.8,100.0,91.2,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:23:16,SN.C&C,91.2,60.0,81.4,Sucess,[outfeed] Oven request to stop
2026-09-19,14:26:52,SN.C&C,81.4,60.0,71.8,Sucess,[outfeed] Oven request to stop
2026-09-19,14:27:53,SN.C&C,74.8,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:30:16,SN.C&C,91.0,60.0,81.6,Sucess,[outfeed] Oven request to stop
2026-09-19,14:35:58,SN.C&C,81.8,60.0,75.0,Sucess,[outfeed] Oven request to stop
2026-09-19,14:41:02,SN.C&C,75.0,60.0,65.6,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,14:42:21,SN.C&C,74.8,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,14:43:50,SN.C&C,91.0,60.0,91.0,Sucess,[outfeed] Oven request to stop
2026-09-19,14:57:44,SN.C&C,91.0,60.0,90.0,Sucess,[outfeed] Oven request to stop
2026-09-19,14:59:55,SN.C&C,89.6,60.0,65.2,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,14:59:55,SN.C&C,90.4,60.0,65.2,FAIL,[outfeed] Stopped: lo_level threshold
2026-09-19,15:01:14,SN.C&C,74.8,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,15:02:03,SN.C&C,91.0,60.0,81.0,Sucess,[outfeed] Oven request to stop
2026-09-19,15:05:35,SN.C&C,81.2,60.0,71.4,Sucess,[outfeed] Oven request to stop
2026-09-19,15:06:37,SN.C&C,74.8,100.0,91.0,FAIL,[Infeed] weight exceeded hi level
2026-09-19,15:08:54,SN.C&C,91.0,60.0,80.8,Sucess,[outfeed] Oven request to stop
