date,time,product,now_weight,req_weight,final_weight,task_state,reason
2026-04-29,14:03:11,SN.C&C,100.0,65.0,92.2,Sucess,[outfeed] Oven request to stop
2026-04-29,14:03:34,SN.C&C,92.2,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-04-29,14:07:21,SN.C&C,100.0,65.0,92.2,Sucess,[outfeed] Oven request to stop
2026-04-29,14:07:45,SN.C&C,92.2,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-04-29,14:11:44,SN.C&C,100.0,65.0,91.8,Sucess,[outfeed] Oven request to stop
2026-04-29,14:12:08,SN.C&C,91.8,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-04-29,14:16:05,SN.C&C,99.0,65.0,91.0,Sucess,[outfeed] Oven request to stop
2026-04-29,14:16:30,SN.C&C,91.0,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-04-29,14:20:39,SN.C&C,100.0,65.0,91.0,Sucess,[outfeed] Oven request to stop
2026-04-29,14:21:05,SN.C&C,91.0,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-04-29,14:25:07,SN.C&C,99.8,65.0,91.0,Sucess,[outfeed] Oven request to stop
2026-04-29,14:25:33,SN.C&C,91.4,100.0,100.0,Sucess,[Infeed] Required weight reached
2026-04-29,14:32:44,SN.C&C,100.0,65.0,92.2,Sucess,[outfeed] Oven request to stop
2026-04-29,14:33:08,SN.C&C,92.2,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-04-29,14:39:45,SN.C&C,99.8,65.0,91.8,Sucess,[outfeed] Oven request to stop
2026-04-29,14:40:10,SN.C&C,91.8,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-04-29,14:46:56,SN.C&C,99.8,65.0,91.6,Sucess,[outfeed] Oven request to stop
2026-04-29,14:47:22,SN.C&C,91.6,100.0,99.8,Sucess,[Infeed] Required weight reached
2026-04-29,14:53:56,SN.C&C,100.0,65.0,92.0,Sucess,[outfeed] Oven request to stop
